J3_2%,J3_10%,J3_30%,J3_50%,J3_70%,J3_90%,J3_100%
369.7,403.9,434.8,457.8,479.7,506.0,549.1
369.4,404.8,434.5,457.6,480.1,506.3,549.6
367.4,401.4,432.4,455.5,477.3,503.4,547.7
366.8,401.3,432.2,454.8,476.5,502.4,546.7
366.2,400.7,432.1,455.2,477.0,502.8,544.3
365.1,397.3,427.3,448.8,470.0,496.4,542.0
368.6,401.9,430.1,450.0,469.6,494.7,539.7
363.9,398.4,429.4,451.2,471.9,496.9,544.6
364.6,398.3,428.5,450.1,470.8,496.0,540.2
372.4,403.6,433.2,454.2,474.8,500.2,545.2
371.7,406.8,437.2,459.2,479.3,504.0,546.8
377.8,408.0,437.0,457.6,477.4,501.8,538.4
357.8,398.1,431.7,454.5,476.0,502.0,551.1
370.8,405.7,436.0,455.6,479.0,504.2,543.9
380.0,411.0,441.2,463.8,484.8,510.0,538.8
370.0,406.6,438.2,460.8,481.6,506.0,541.0
371.0,403.8,434.4,456.6,477.2,501.4,539.0
361.3,399.3,432.1,454.9,476.3,502.2,561.4
369.7,405.5,437.2,460.5,481.8,507.0,566.1
370.0,400.2,429.4,451.0,471.0,494.8,521.6
371.2,399.4,426.8,447.6,468.0,490.6,515.0
369.5,402.9,432.7,455.0,475.8,500.9,548.8
370.2,399.2,427.4,448.6,469.0,491.8,518.0
367.0,403.0,435.2,459.0,480.2,505.6,539.6
368.6,404.9,436.3,459.7,481.6,505.0,548.2
373.5,406.2,436.3,459.4,481.2,508.9,559.7
363.9,398.9,430.4,455.1,474.9,501.4,552.7
368.2,400.1,430.5,453.2,475.5,503.2,552.0
368.6,401.4,432.1,455.5,478.1,506.2,556.7
356.8,386.6,417.0,439.6,462.6,489.8,519.8
364.8,398.7,431.4,455.5,478.1,505.2,551.8
362.4,388.8,416.4,437.2,459.0,485.4,515.0
352.4,382.0,412.4,433.8,455.8,482.0,512.2
358.6,392.2,423.3,445.6,467.4,494.2,553.0
370.1,400.2,429.5,451.6,473.2,500.6,551.2
372.6,403.4,433.6,456.5,478.6,506.6,561.8
371.8,403.4,434.0,458.2,480.3,508.1,565.3
363.4,393.6,423.4,445.3,467.6,497.1,559.2
370.6,401.9,430.9,453.9,476.7,505.8,562.8
371.2,402.0,432.8,457.2,480.5,509.7,571.9
367.0,400.1,431.8,456.2,479.3,507.6,572.9
360.2,390.2,418.7,439.8,461.2,489.2,547.6
358.7,387.4,416.4,436.7,457.4,484.6,531.0
370.4,400.3,428.9,450.3,471.3,498.5,556.9
366.5,397.6,426.9,448.3,469.1,495.4,561.2
369.2,399.8,428.6,450.2,471.2,497.7,539.5
366.5,395.4,424.2,445.0,466.0,494.1,552.6
370.5,400.7,429.8,446.3,472.2,499.3,557.8
372.5,402.3,431.5,453.7,474.4,501.7,563.1
367.8,395.9,424.3,445.1,466.3,495.4,555.7
345.3,387.4,420.5,444.6,464.9,494.4,553.2
371.2,401.2,430.0,451.7,472.6,500.5,560.8
353.4,388.2,418.8,440.2,452.0,482.4,566.8
371.0,400.2,427.9,448.9,469.9,498.5,557.5
348.8,382.6,415.0,437.7,460.3,489.8,559.9
375.8,402.7,430.5,452.0,473.5,504.4,563.5
373.9,401.5,430.1,452.0,473.5,503.2,556.8
374.9,401.9,430.3,452.3,474.2,506.6,574.1
372.5,400.2,429.0,451.1,473.1,504.0,568.7
377.1,403.5,430.8,452.0,473.2,504.0,550.5
376.2,402.9,430.6,452.2,473.6,504.6,565.3
364.9,396.0,426.0,451.1,471.9,503.9,569.5
379.2,406.3,434.4,456.4,477.6,508.1,567.9
378.4,404.3,432.2,453.9,475.1,505.6,567.5
382.4,408.2,436.1,457.7,479.0,509.6,569.5
372.3,399.4,427.0,447.1,468.6,498.1,557.5
374.0,398.9,425.2,444.9,465.9,498.2,555.0
371.7,396.8,424.9,446.4,468.1,500.5,557.3
370.8,398.2,427.0,449.2,471.3,502.2,563.9
376.1,400.4,427.9,449.6,472.2,506.2,568.2
372.2,397.3,425.4,447.4,470.5,505.6,567.0
373.9,398.6,426.2,448.3,471.5,505.7,551.1
374.9,401.8,430.6,453.7,476.0,508.4,571.5
381.5,404.4,431.5,454.1,477.3,512.8,573.0
371.0,396.9,425.7,447.6,470.0,502.5,566.7
380.2,403.0,430.5,452.5,475.4,510.5,571.0
383.4,409.2,437.1,458.7,480.1,510.6,569.5
382.1,404.7,430.6,451.9,474.9,510.3,571.5
378.4,401.8,428.5,450.1,473.4,509.5,573.3
371.8,393.6,418.7,438.1,460.9,497.5,567.4
385.4,405.9,430.0,450.3,473.5,508.5,569.3
380.9,401.8,426.4,446.6,470.4,505.8,570.6
378.7,399.8,424.7,444.7,467.6,502.1,553.1
384.6,405.0,429.0,449.4,472.8,507.2,568.2
372.8,394.6,421.4,442.3,466.7,502.3,562.3
374.1,412.2,439.1,457.8,476.2,500.8,556.1
366.0,399.0,428.2,448.0,467.4,491.4,564.6
369.5,400.2,428.8,448.3,467.3,492.7,540.0
367.4,401.0,428.7,446.5,464.4,487.3,529.4
374.1,407.1,436.1,456.2,475.9,500.1,539.4
376.8,407.3,435.7,455.7,475.2,499.2,538.6
369.7,404.6,433.5,453.4,472.7,496.5,534.0
374.8,407.1,436.5,457.0,476.2,500.6,557.6
366.1,402.8,433.6,454.3,474.1,498.3,536.6
374.0,408.1,436.5,456.1,474.7,497.6,534.2
375.1,406.7,435.4,454.5,474.9,503.8,541.0
380.2,414.9,442.3,460.2,477.3,499.5,536.7
382.4,414.9,442.6,460.6,477.5,499.6,538.5
370.9,403.8,431.8,450.8,469.2,492.1,529.7
370.2,401.0,428.8,448.4,467.8,490.4,529.0
380.5,410.6,444.8,460.6,480.0,505.3,551.0
364.0,397.6,426.8,446.8,466.8,490.4,557.2
376.0,401.8,429.2,450.0,470.8,498.0,558.0
367.6,402.8,431.5,451.4,470.5,494.0,533.4
370.4,404.6,433.5,453.6,473.1,496.9,534.2
369.4,404.2,432.9,453.0,472.8,497.1,534.8
374.1,406.3,436.1,456.8,476.5,500.2,537.4
373.5,403.0,430.8,450.5,470.4,494.7,535.3
362.4,396.4,428.4,450.0,471.2,496.0,544.0
365.4,404.1,435.7,457.5,478.0,502.4,538.8
363.6,400.1,429.1,449.9,470.6,496.0,532.8
371.5,400.2,428.4,448.9,468.9,493.1,529.8
370.4,402.6,431.6,452.6,473.1,498.3,538.7
376.3,405.5,434.5,456.3,477.2,502.3,540.1
363.4,397.8,429.2,451.4,473.0,498.9,537.8
361.9,395.8,425.8,446.8,467.5,492.3,532.8
370.8,405.4,438.8,463.2,484.6,509.2,541.6
370.3,398.7,428.3,450.4,472.4,498.9,538.6
361.3,394.7,425.6,448.0,470.4,497.3,538.9
362.3,398.8,430.9,453.8,475.4,500.8,539.4
372.8,402.2,431.2,452.8,473.7,499.0,539.1
366.4,399.7,429.9,451.9,473.3,498.5,536.3
364.9,395.5,426.9,449.4,470.9,495.8,533.4
380.0,412.2,442.4,465.4,485.4,509.0,542.2
373.3,401.3,429.3,450.3,471.2,496.7,538.5
382.0,410.4,440.4,463.0,483.6,507.8,548.0
359.7,391.2,419.6,439.2,459.2,485.0,542.3
360.2,392.0,421.1,441.1,461.4,486.2,527.3
359.5,391.5,419.6,438.9,458.3,482.5,524.1
369.7,403.0,432.7,451.2,470.0,493.8,534.8
360.2,391.5,419.7,439.2,458.6,483.3,524.2
368.7,401.2,430.1,450.9,470.6,494.1,532.1
364.0,399.1,429.8,451.1,471.1,494.1,531.0
362.9,397.6,426.8,447.6,467.7,491.7,532.1
364.9,399.6,427.6,447.8,467.5,490.6,529.1
370.8,401.2,428.7,448.7,468.0,490.9,533.6
367.8,399.6,428.2,447.3,467.8,491.1,528.4
359.6,393.3,423.8,443.7,463.2,485.6,522.9
367.6,394.6,420.9,438.7,456.7,479.6,520.1
359.3,392.8,419.9,437.8,455.4,478.5,524.6
383.0,414.6,439.6,458.0,475.2,497.2,542.8
362.2,393.0,419.7,437.8,455.8,478.9,521.5
359.5,391.0,418.2,436.6,454.9,478.5,524.0
361.1,393.1,420.8,439.8,459.0,482.8,528.0
365.9,396.3,426.1,446.5,466.2,488.3,523.4
360.7,392.1,419.6,438.5,457.2,480.9,526.9
374.0,410.2,436.2,456.2,474.2,498.2,545.2
368.2,396.7,424.4,443.4,462.3,485.4,524.7
353.5,386.8,416.6,436.2,455.4,478.7,517.1
366.9,397.6,425.8,445.4,465.1,488.9,530.1
366.1,398.8,427.6,448.0,468.0,491.9,535.6
368.2,399.2,426.8,445.9,464.7,487.6,535.1
359.5,391.0,418.2,436.6,454.9,478.5,524.0
373.2,405.2,431.0,450.6,468.4,492.4,533.0
364.4,393.7,420.6,439.7,459.3,483.3,529.7
359.6,391.1,418.6,438.0,457.4,480.5,525.0
366.2,402.8,432.0,452.0,470.8,493.2,533.8
371.8,401.7,427.0,444.3,461.4,482.8,532.9
370.0,403.2,431.2,449.4,467.0,488.8,527.6
367.8,405.8,437.6,457.9,475.6,496.0,529.3
362.5,393.4,419.7,437.2,454.3,478.4,530.5
369.8,406.2,439.4,463.2,485.2,511.4,552.6
365.5,397.9,427.5,450.1,472.4,499.1,547.9
375.4,407.8,437.6,460.4,482.0,508.4,550.0
370.7,406.1,437.2,460.4,482.2,508.8,563.1
377.5,403.2,431.0,452.3,473.1,499.1,548.7
366.7,404.2,437.2,462.0,484.6,512.5,565.8
367.5,403.8,436.8,460.8,483.1,510.3,559.9
375.0,400.4,429.3,452.1,474.7,502.2,554.0
373.8,403.2,434.2,457.4,479.8,506.6,542.0
375.0,405.4,436.1,458.8,479.6,504.3,553.7
367.3,401.8,433.5,456.3,477.9,503.8,566.7
371.3,404.6,435.3,457.5,477.7,501.4,552.5
374.7,406.8,437.3,459.2,478.8,502.7,562.6
367.3,402.3,433.3,455.1,475.1,498.9,554.1
372.6,404.4,434.5,456.3,476.8,501.0,554.1
371.6,403.2,432.6,453.6,473.6,496.8,549.8
366.1,403.5,435.9,458.8,479.7,503.8,551.6
374.6,406.4,435.6,456.3,475.8,499.2,548.6
380.5,408.5,437.2,458.0,477.0,502.0,569.1
362.6,389.3,416.1,435.7,454.9,480.8,535.6
383.4,409.6,437.2,457.8,477.1,502.6,563.0
353.0,386.3,414.3,434.5,454.1,480.0,528.7
375.8,404.8,432.8,453.0,471.8,494.6,531.0
379.9,406.4,434.8,455.2,474.5,500.2,566.5
366.4,392.8,420.3,440.5,459.7,484.3,530.3
375.5,406.8,437.5,460.3,480.8,505.7,560.2
371.0,404.6,436.7,459.6,480.4,504.9,559.2
375.5,404.1,432.3,453.2,473.4,503.1,561.6
360.2,395.8,425.2,445.4,465.4,489.2,530.6
385.4,410.2,437.2,457.8,477.3,504.9,562.7
380.4,406.9,434.9,455.5,475.5,504.4,562.6
359.6,397.4,427.0,447.4,467.4,491.8,546.8
375.5,404.0,432.0,452.6,472.6,502.7,574.0
382.9,408.3,434.5,455.1,475.6,508.7,564.0
363.6,397.0,425.8,446.2,466.4,491.0,532.6
370.3,400.0,428.1,449.3,470.7,502.4,563.1
385.7,410.4,440.1,464.7,488.1,513.8,561.1
355.8,394.4,426.6,450.4,474.0,502.8,559.0
352.2,393.2,425.0,448.2,471.0,496.6,529.0
358.2,397.8,428.4,450.4,470.6,493.0,523.8
369.0,406.0,436.4,458.6,478.4,502.0,548.2
380.7,412.4,441.8,463.3,482.6,505.8,539.7
374.7,404.1,433.1,453.8,473.7,497.8,534.1
377.2,407.5,437.0,459.1,480.0,505.5,542.8
373.6,405.8,435.4,457.3,478.7,505.2,542.4
373.4,405.6,435.2,456.9,477.6,502.8,537.7
364.8,398.8,433.2,458.2,480.8,506.2,540.2
376.6,407.3,438.3,462.7,485.5,514.3,557.7
381.6,409.9,439.0,461.8,483.4,509.9,543.2
379.4,408.7,437.6,460.1,481.6,508.1,543.9
381.9,409.0,436.8,458.8,480.0,506.0,539.3
361.2,409.2,423.2,442.9,463.4,489.2,525.8
381.1,409.4,438.1,460.2,481.1,506.6,542.6
355.6,391.0,421.0,444.2,467.2,493.4,528.6
380.1,409.0,437.8,460.2,481.3,507.2,543.0
376.0,410.9,443.6,467.6,488.9,514.0,549.3
368.3,398.7,428.3,449.9,471.5,497.8,534.4
377.4,406.3,434.9,456.9,478.1,504.1,540.7
381.1,408.4,437.2,460.4,482.2,508.4,540.4
380.9,409.6,436.2,460.2,481.5,511.2,546.0
363.8,394.8,423.4,446.6,469.8,497.6,532.4
376.9,406.8,438.7,462.8,483.2,509.4,544.9
385.2,410.9,437.3,459.7,480.7,506.5,540.4
379.7,406.7,434.3,456.1,476.8,502.1,539.8
361.2,392.8,419.0,438.8,460.2,488.0,532.2
364.0,399.4,429.7,452.4,474.7,503.1,537.1
375.1,404.7,433.8,455.3,475.6,500.9,544.0
372.0,412.0,444.1,466.2,486.1,510.6,547.1
375.5,411.4,443.2,465.4,485.8,510.6,547.0
363.1,397.3,426.9,448.9,470.8,496.9,534.1
365.8,399.0,428.7,451.0,473.0,499.8,536.5
376.6,412.9,444.7,467.5,488.6,514.3,549.9
358.0,393.7,424.6,446.2,469.7,496.6,534.0
371.0,400.1,429.3,452.1,474.2,501.1,545.2
373.7,411.0,443.3,466.2,487.3,513.1,549.0
369.6,402.8,433.0,454.0,474.4,499.0,533.2
371.7,400.0,427.8,448.9,470.3,496.2,542.7
375.7,411.2,442.4,464.1,484.0,508.6,543.8
362.5,400.7,434.4,456.8,478.6,504.8,542.1
368.1,406.2,439.1,462.0,483.9,510.8,549.1
353.9,405.6,426.9,453.2,477.7,506.6,551.3
369.4,404.2,436.0,458.3,479.8,505.6,544.7
360.8,402.1,437.6,461.5,483.7,510.8,559.6
351.4,396.8,430.0,453.0,475.2,502.8,544.2
358.6,398.4,431.2,453.6,475.6,503.4,544.8
374.0,408.7,438.3,458.7,479.7,505.2,548.6
365.2,398.2,428.4,450.4,472.2,498.0,535.0
380.9,412.9,442.9,464.4,484.9,511.1,550.1
373.3,410.7,442.3,464.9,486.2,513.2,569.3
375.2,408.5,438.5,459.8,479.7,504.1,539.0
369.3,402.8,432.9,454.2,474.8,500.8,557.2
377.5,410.4,439.5,460.0,479.2,503.0,538.3
361.6,398.4,428.8,451.4,472.6,493.6,532.8
373.2,408.4,438.3,459.7,479.8,505.6,554.1
377.9,409.8,438.7,459.5,479.3,504.3,541.5
376.0,403.2,430.2,448.9,467.3,491.2,558.8
357.4,392.2,421.6,440.6,458.6,482.2,524.4
368.4,399.5,427.5,446.2,464.8,488.7,538.7
371.6,401.7,429.4,448.2,466.9,490.5,532.1
374.2,407.2,436.0,456.2,475.3,499.5,544.1
373.7,399.4,426.3,445.3,464.5,489.4,534.1
369.8,402.5,430.4,449.8,468.6,492.1,532.9
354.2,389.4,419.0,439.0,458.0,482.2,518.8
373.1,399.5,426.4,445.3,464.4,488.2,530.6
372.7,405.6,433.5,452.3,470.6,493.7,535.9
366.4,400.4,429.0,448.5,467.5,490.8,528.1
365.4,401.5,431.9,452.6,472.3,496.8,537.3
370.1,404.1,432.5,452.2,471.5,495.9,544.5
347.6,383.4,413.8,433.8,454.2,479.4,514.0
372.1,398.0,425.7,445.3,465.5,490.9,547.5
384.7,412.3,439.5,459.2,478.1,501.8,541.1
379.2,406.0,433.5,453.2,472.6,497.8,558.7
379.2,406.0,433.5,453.2,472.6,497.8,558.7
375.0,404.9,433.5,453.9,473.6,497.5,537.8
375.0,404.9,433.5,453.9,473.6,497.5,537.8
370.4,406.7,436.5,457.7,477.6,502.8,566.5
370.4,406.7,436.5,457.7,477.6,502.8,566.5
373.0,407.2,436.0,456.3,475.8,500.4,555.8
373.0,407.2,436.0,456.3,475.8,500.4,555.8
376.9,406.2,434.5,454.6,473.8,497.7,545.1
376.9,406.2,434.5,454.6,473.8,497.7,545.1
370.1,404.4,433.2,453.4,472.8,497.0,552.8
372.6,406.5,435.6,455.6,474.5,497.7,544.1
369.3,402.9,432.0,452.2,471.8,495.5,543.1
369.3,402.9,432.0,452.2,471.8,495.5,543.1
372.3,405.6,434.9,455.6,475.5,500.4,559.5
372.3,405.6,434.9,455.6,475.5,500.4,559.5
374.2,408.8,438.5,458.8,479.3,505.5,548.1
374.2,408.8,438.5,458.8,479.3,505.5,548.1
379.8,409.3,438.0,458.5,478.3,503.2,556.0
369.6,403.5,434.5,455.2,475.2,500.0,546.2
369.6,403.5,434.5,455.2,475.2,500.0,546.2
374.2,407.9,438.6,460.0,480.7,506.0,555.0
374.2,407.9,438.6,460.0,480.7,506.0,555.0
379.5,408.3,437.3,457.7,477.3,502.5,558.7
379.8,411.5,440.8,462.6,483.7,510.9,551.0
377.7,408.1,438.1,459.4,480.9,508.4,549.9
377.7,408.1,438.1,459.4,480.9,508.4,549.9
380.5,412.1,441.7,463.5,484.1,510.5,549.5
380.5,412.1,441.7,463.5,484.1,510.5,549.5
378.5,410.7,440.5,462.6,483.9,510.9,550.1
378.5,410.7,440.5,462.6,483.9,510.9,550.1
378.1,409.5,439.1,460.4,481.4,507.7,547.6
375.7,406.3,440.6,462.5,483.8,511.0,551.6
375.7,406.3,440.6,462.5,483.8,511.0,551.6
378.0,412.8,443.6,465.7,486.6,513.0,552.1
378.0,412.8,443.6,465.7,486.6,513.0,552.1
363.8,406.9,439.7,462.1,483.7,511.1,552.5
363.8,406.9,439.7,462.1,483.7,511.1,552.5
377.6,412.2,442.6,464.6,485.2,511.5,552.5
377.6,412.2,442.6,464.6,485.2,511.5,552.5
377.9,410.7,440.0,461.2,481.9,508.2,549.5
377.9,410.7,440.0,461.2,481.9,508.2,549.5
368.1,406.7,437.6,459.1,480.5,508.1,556.7
368.1,406.7,437.6,459.1,480.5,508.1,556.7
372.9,408.6,439.5,461.8,483.4,510.1,550.2
372.9,408.6,439.5,461.8,483.4,510.1,550.2
366.3,407.6,439.9,462.7,484.4,511.9,553.8
376.1,411.4,442.1,464.4,485.3,511.8,553.4
372.9,409.9,441.3,464.0,485.0,511.4,549.7
